	Species	Genes	Methylobacterium durans	Methylobacterium indicum	Methylobacterium phyllosphaerae	Methylobacterium radiodurans	Methylobacterium terrae	mean ZH-Score
2322	5	5	WP_109895730.1	WP_207181623.1	WP_075380398.1	WP_109952445.1	WP_245442832.1	8730.206691666668
1293	5	5	WP_109891226.1	WP_207183061.1	WP_043758796.1	WP_109950717.1	WP_109961814.1	8721.556311111111
819	5	5	WP_109889591.1	WP_244748911.1	WP_075381007.1	WP_109950121.1	WP_109960728.1	8720.382208333334
2365	5	5	WP_109895842.1	WP_207182016.1	WP_075380851.1	WP_109951392.1	WP_109957310.1	8717.65108235294
1846	5	5	WP_109893367.1	WP_207181243.1	WP_075379988.1	WP_109953252.1	WP_109960567.1	8713.149700000002
2394	5	5	WP_109896015.1	WP_048428837.1	WP_043356732.1	WP_109953527.1	WP_208642268.1	8711.725433333335
899	5	5	WP_109889801.1	WP_207182468.1	WP_043353176.1	WP_245930722.1	WP_109957680.1	8677.903675000001
2230	5	5	WP_109895506.1	WP_048428060.1	WP_043347120.1	WP_109953135.1	WP_109958032.1	8672.431915384617
2407	5	5	WP_109896169.1	WP_244748928.1	WP_043354484.1	WP_109954055.1	WP_208642282.1	8655.0933125
2395	5	5	WP_109896021.1	WP_244749073.1	WP_075380407.1	WP_245930755.1	WP_245442468.1	8631.008378571429
1281	5	5	WP_109891196.1	WP_048427154.1	WP_043758808.1	WP_109950733.1	WP_109959124.1	8620.299468965517
2628	5	6	WP_194075161.1	WP_207181911.1,WP_244749118.1	WP_075380172.1	WP_109949557.1	WP_109958155.1	8612.037119047618
339	5	5	WP_109887494.1	WP_048430842.1	WP_043355299.1	WP_109950748.1	WP_109962103.1	8587.915452173913
1599	5	5	WP_109891907.1	WP_207181773.1	WP_075380367.1	WP_109953301.1	WP_109959312.1	8438.77138125
1966	5	5	WP_109894171.1	WP_207183132.1	WP_043384443.1	WP_245930915.1	WP_109961668.1	8435.446739130435
1049	5	6	WP_109890314.1	WP_207179037.1,WP_244748600.1	WP_075381368.1	WP_109950932.1	WP_245442897.1	8424.114
643	5	5	WP_109888945.1	WP_207179022.1	WP_075381146.1	WP_109950664.1	WP_109959350.1	8392.815303846153
2684	5	5	WP_236960132.1	WP_048461704.1	WP_236952865.1	WP_245930880.1	WP_109962121.1	8329.905309090907
2527	5	7	WP_109887983.1,WP_109896786.1	WP_207182806.1	WP_043346489.1,WP_075380267.1	WP_109952942.1	WP_109961756.1	8313.436703333333
2281	5	5	WP_109895619.1	WP_207178108.1	WP_043355222.1	WP_109953307.1	WP_208642272.1	8269.136609090909
1214	5	5	WP_109890871.1	WP_048428441.1	WP_043383024.1	WP_109951407.1	WP_109961328.1	8214.776763157895
1108	5	5	WP_109890545.1	WP_207177752.1	WP_075380725.1	WP_109951123.1	WP_109959276.1	8102.93909090909
904	5	5	WP_109889822.1	WP_244748823.1	WP_043353391.1	WP_109949909.1	WP_245442884.1	8076.034507692308
305	5	8	WP_109887449.1	WP_048428427.1,WP_207181161.1	WP_043352617.1,WP_043356963.1	WP_109950738.1	WP_109957665.1,WP_109958805.1	8061.993645454547
1536	5	5	WP_109891751.1	WP_207180741.1	WP_075381436.1	WP_109952116.1	WP_109957973.1	8053.052265
1595	5	5	WP_109891897.1	WP_207181765.1	WP_043356993.1	WP_109953231.1	WP_109959317.1	8030.158529999999
657	5	5	WP_109888977.1	WP_048452134.1	WP_043758999.1	WP_109950558.1	WP_048452134.1	8023.794250000001
2269	5	5	WP_109895588.1	WP_048429407.1	WP_007557567.1	WP_066927119.1	WP_048435092.1	8011.663549999998
1083	5	5	WP_109890489.1	WP_048427129.1	WP_043385521.1	WP_066922246.1	WP_048445376.1	8009.886025
2544	5	5	WP_109896948.1	WP_207177729.1	WP_043757506.1	WP_109953351.1	WP_109960158.1	7994.0425125
1791	5	5	WP_109892763.1	WP_048428974.1	WP_075380429.1	WP_109954322.1	WP_109962542.1	7962.203233333335
3090	5	5	WP_109887369.1	WP_048431175.1	WP_043382873.1	WP_109950583.1	WP_109958922.1	7956.046875
1060	5	5	WP_109890342.1	WP_207183099.1	WP_043389442.1	WP_109952430.1	WP_109961718.1	7897.618560000001
138	5	5	WP_109886946.1	WP_207183395.1	WP_075380129.1	WP_109952467.1	WP_109958112.1	7875.016070000001
2521	5	5	WP_109896714.1	WP_244748980.1	WP_236952991.1	WP_109953285.1	WP_245443070.1	7812.57815652174
2661	5	5	WP_210206680.1	WP_048427843.1	WP_197739341.1	WP_109953300.1	WP_109959311.1	7792.983976470589
1300	5	5	WP_109891242.1	WP_207181951.1	WP_043381936.1	WP_109950401.1	WP_109958977.1	7759.0035625
957	5	5	WP_109890035.1	WP_207181076.1	WP_170861828.1	WP_109950354.1	WP_109958847.1	7754.157235294118
1160	5	5	WP_109890739.1	WP_207180422.1	WP_043346072.1	WP_109952888.1	WP_109957362.1	7725.305946666666
2027	5	5	WP_109894455.1	WP_048429890.1	WP_043352603.1	WP_245930616.1	WP_109961255.1	7723.206817391305
1386	5	5	WP_109891444.1	WP_048428736.1	WP_075379608.1	WP_109951159.1	WP_245443051.1	7579.27776923077
2840	5	5	WP_236960948.1	WP_207179624.1	WP_236952974.1	WP_109952137.1	WP_109957474.1	7578.167715384616
2511	5	5	WP_109896646.1	WP_207178888.1	WP_043756109.1	WP_109953741.1	WP_109957378.1	7553.905934482757
2302	5	5	WP_109895681.1	WP_048425681.1	WP_075381258.1	WP_109952644.1	WP_109961022.1	7550.0065066666675
1227	5	5	WP_109890915.1	WP_048426174.1	WP_043351311.1	WP_109953837.1	WP_245442953.1	7441.305611111111
1082	5	5	WP_109890487.1	WP_207183402.1	WP_043347496.1	WP_109950366.1	WP_109962443.1	7364.30233888889
664	5	5	WP_109888993.1	WP_048428628.1	WP_043354612.1	WP_109950620.1	WP_093567572.1	7313.280071428571
1614	5	5	WP_109891947.1	WP_048427287.1	WP_075381358.1	WP_109953679.1	WP_109961479.1	7255.04446923077
519	5	5	WP_109888406.1	WP_048429799.1	WP_043357852.1	WP_109950411.1	WP_109959651.1	7251.057618181819
1792	5	5	WP_109892769.1	WP_207183054.1	WP_075380424.1	WP_109951611.1	WP_109961820.1	7241.527328571429
2655	5	5	WP_194075242.1	WP_207181551.1	WP_075380527.1	WP_109952178.1	WP_109961990.1	7234.965711111111
803	5	5	WP_109889555.1	WP_048428608.1	WP_043357121.1	WP_109950091.1	WP_109960761.1	7206.4589888888895
2124	5	5	WP_109895144.1	WP_048428670.1	WP_043379090.1	WP_109951915.1	WP_109958747.1	7158.336870370368
2118	5	5	WP_109895130.1	WP_207182408.1	WP_043353559.1	WP_109953368.1	WP_109961239.1	7007.842136842105
2057	5	5	WP_109894760.1	WP_048426489.1	WP_043352116.1	WP_109952652.1	WP_109958616.1	7006.312864705884
98	5	5	WP_109886852.1	WP_048428447.1	WP_043347104.1	WP_109951573.1	WP_109961334.1	6999.716361904761
427	5	5	WP_109887800.1	WP_244748591.1	WP_043382920.1	WP_109949707.1	WP_208642276.1	6979.296478571428
2608	5	5	WP_191970193.1	WP_048428844.1	WP_170861838.1	WP_197430725.1	WP_109957642.1	6940.368
2155	5	5	WP_109895226.1	WP_048430240.1	WP_075380262.1	WP_109951679.1	WP_109958211.1	6938.085157692306
1755	5	5	WP_109892424.1	WP_207177836.1	WP_075381626.1	WP_109953121.1	WP_109959226.1	6930.38315
1294	5	5	WP_109891228.1	WP_048429873.1	WP_043351211.1	WP_109951338.1	WP_109961065.1	6928.934327272728
885	5	5	WP_109889759.1	WP_207178384.1	WP_043346925.1	WP_109951401.1	WP_245442640.1	6919.578347826086
653	5	5	WP_109888967.1	WP_207177764.1	WP_075380798.1	WP_109950553.1	WP_109961939.1	6903.274200000001
678	5	5	WP_109889045.1	WP_048429104.1	WP_043351110.1	WP_109949825.1	WP_109957870.1	6900.7200375
1081	5	5	WP_109890485.1	WP_207183399.1	WP_075381291.1	WP_109950364.1	WP_109961038.1	6877.225175
905	5	5	WP_109889824.1	WP_207181154.1	WP_170861853.1	WP_109949910.1	WP_109958809.1	6845.110733333334
3091	5	5	WP_109896229.1	WP_207177919.1	WP_075382036.1	WP_109949822.1	WP_109958637.1	6844.261621052631
93	5	6	WP_109886842.1	WP_207179720.1	WP_053609039.1	WP_109954004.1,WP_109954139.1	WP_109958456.1	6827.877990476191
1616	5	5	WP_109891951.1	WP_058618612.1	WP_075380722.1	WP_204165232.1	WP_109961481.1	6810.13962
123	5	5	WP_109886915.1	WP_207181248.1	WP_075380812.1	WP_109954136.1	WP_245442563.1	6804.383941666667
1471	5	5	WP_109891596.1	WP_207182394.1	WP_075380530.1	WP_109951958.1	WP_109961997.1	6781.349913333334
1331	5	5	WP_109891316.1	WP_048425706.1	WP_043355385.1	WP_109950591.1	WP_109962065.1	6778.961865625
2256	5	5	WP_109895560.1	WP_048425822.1	WP_043346666.1	WP_109952590.1	WP_048431918.1	6760.601426086954
33	5	6	WP_109886696.1	WP_207183293.1	WP_043353807.1	WP_109951454.1	WP_109957487.1,WP_109960883.1	6756.169466666666
2070	5	6	WP_109894975.1,WP_236960144.1	WP_207181683.1	WP_043353849.1	WP_109953861.1	WP_245442848.1	6748.701025
1068	5	5	WP_109890443.1	WP_207181470.1	WP_043348722.1	WP_109949904.1	WP_109958549.1	6741.530200000001
2472	5	5	WP_109896510.1	WP_048428697.1	WP_043356067.1	WP_109951181.1	WP_048449383.1	6737.3175
1130	5	5	WP_109890607.1	WP_207183634.1	WP_043354433.1	WP_245930877.1	WP_109958436.1	6703.876373913043
2798	5	5	WP_236960699.1	WP_048431499.1	WP_043351769.1	WP_109952931.1	WP_109958523.1	6694.2253
3632	5	5	WP_109886703.1	WP_244748561.1	WP_075381482.1	WP_109953777.1	WP_109958167.1	6690.196829411764
2518	5	5	WP_109896672.1	WP_207182679.1	WP_075381631.1	WP_109953115.1	WP_109957433.1	6685.405842857145
2228	5	5	WP_109895502.1	WP_207179557.1	WP_083683675.1	WP_109953128.1	WP_109960284.1	6676.770938888889
668	5	5	WP_109889007.1	WP_048427427.1	WP_075380791.1	WP_109951323.1	WP_109959099.1	6647.680488235294
439	5	6	WP_109887829.1	WP_207178702.1	WP_043357688.1	WP_109952479.1	WP_109957990.1,WP_109959579.1	6638.1709608695655
107	5	5	WP_109886870.1	WP_207179393.1	WP_075380782.1	WP_109951917.1	WP_109958338.1	6626.701771428571
1706	5	5	WP_109892302.1	WP_058617746.1	WP_043347075.1	WP_109953214.1	WP_109961348.1	6600.390084210526
627	5	5	WP_109888889.1	WP_207181185.1	WP_075380745.1	WP_109951016.1	WP_109957726.1	6599.162716666667
1617	5	5	WP_109891953.1	WP_048426435.1	WP_043354390.1	WP_109953590.1	WP_048426435.1	6593.594413333333
1429	5	5	WP_109891531.1	WP_207180479.1	WP_043384038.1	WP_109953771.1	WP_109960351.1	6588.26585882353
682	5	8	WP_109889053.1	WP_048426218.1,WP_207177895.1	WP_075381051.1	WP_109953125.1,WP_109953466.1	WP_109957719.1,WP_109958177.1	6584.828705714285
2636	5	5	WP_194075188.1	WP_048428607.1	WP_043357123.1	WP_109950090.1	WP_109960760.1	6584.617816
1139	5	5	WP_109890633.1	WP_207178348.1	WP_043357140.1	WP_109953467.1	WP_109957578.1	6580.1789714285715
2719	5	6	WP_236960294.1,WP_236960676.1	WP_207181980.1	WP_236952932.1	WP_109950129.1	WP_109962224.1	6569.165335294118
722	5	5	WP_109889310.1	WP_207178653.1	WP_043350600.1	WP_109953587.1	WP_109959357.1	6559.735611111111
781	5	5	WP_109889508.1	WP_207178508.1	WP_043347814.1	WP_109951034.1	WP_109961977.1	6558.226522222222
1116	5	5	WP_109890573.1	WP_207177745.1	WP_043758388.1	WP_109953056.1	WP_109960188.1	6555.341024999999
1383	5	5	WP_109891436.1	WP_058617419.1	WP_075379607.1	WP_109951155.1	WP_109962281.1	6534.136594444444
2710	5	5	WP_236960195.1	WP_207178492.1	WP_075380196.1	WP_109953612.1	WP_109957543.1	6529.701300000001
832	5	5	WP_109889630.1	WP_048427516.1	WP_170861862.1	WP_109950076.1	WP_109960685.1	6529.16708
1399	5	5	WP_109891470.1	WP_207180602.1	WP_075379616.1	WP_109951195.1	WP_109961170.1	6524.531193333333
2782	5	5	WP_236960614.1	WP_207179248.1	WP_043389447.1	WP_109952395.1	WP_109959787.1	6511.81780625
2789	5	7	WP_236960658.1	WP_207179242.1,WP_207184132.1	WP_085987691.1	WP_109949561.1	WP_109959116.1,WP_109959793.1	6509.962160714284
842	5	5	WP_109889653.1	WP_048425519.1	WP_043346860.1	WP_109950070.1	WP_109962404.1	6508.79938125
958	5	5	WP_109890037.1	WP_207181075.1	WP_075381241.1	WP_109950355.1	WP_109962215.1	6491.982933333334
1912	5	5	WP_109893815.1	WP_048426812.1	WP_075380955.1	WP_109949587.1	WP_109959676.1	6481.54785
1479	5	5	WP_109891614.1	WP_207181552.1	WP_075380526.1	WP_109952000.1	WP_109961988.1	6444.688751999999
831	5	5	WP_109889627.1	WP_207182122.1	WP_075380958.1	WP_109950078.1	WP_109960687.1	6365.525171428571
1453	5	5	WP_109891574.1	WP_207183672.1	WP_043758455.1	WP_109951759.1	WP_245442541.1	6352.071805882352
1665	5	5	WP_109892184.1	WP_244749063.1	WP_043760503.1	WP_109952117.1	WP_109961955.1	6335.41296
145	5	5	WP_109886962.1	WP_207179462.1	WP_043345890.1	WP_109953665.1	WP_109959841.1	6330.0640133333345
65	5	5	WP_109886779.1	WP_207181549.1	WP_043354664.1	WP_109953653.1	WP_109959184.1	6328.260550000001
546	5	5	WP_109888476.1	WP_244749020.1	WP_043353328.1	WP_245930783.1	WP_245442604.1	6321.898053846156
2632	5	5	WP_194075172.1	WP_165602088.1	WP_164706402.1	WP_204165279.1	WP_167450834.1	6302.592905263157
917	5	5	WP_109889858.1	WP_207178951.1	WP_043380670.1	WP_109950763.1	WP_109958421.1	6276.168200000001
1756	5	5	WP_109892426.1	WP_207177835.1	WP_083683462.1	WP_109953120.1	WP_109959227.1	6265.504564285715
1198	5	5	WP_109890835.1	WP_207183225.1	WP_075379675.1	WP_109950624.1	WP_109961852.1	6260.353408
1971	5	5	WP_109894185.1	WP_048429604.1	WP_043354545.1	WP_109952403.1	WP_109962519.1	6258.741779310343
1976	5	5	WP_109894197.1	WP_207183134.1	WP_043389440.1	WP_109952431.1	WP_109961663.1	6230.024557142858
218	5	5	WP_109887138.1	WP_207177793.1	WP_075380155.1	WP_109951493.1	WP_109960143.1	6212.591982352942
2216	5	5	WP_109895478.1	WP_048429182.1	WP_043356884.1	WP_204165188.1	WP_109960236.1	6194.191992
2244	5	5	WP_109895536.1	WP_048425835.1	WP_010686168.1	WP_066917993.1	WP_109960465.1	6193.995499999999
801	5	5	WP_109889547.1	WP_244748864.1	WP_043353367.1	WP_109952474.1	WP_109958094.1	6184.494744444444
879	5	5	WP_109889744.1	WP_207180708.1	WP_075380312.1	WP_109950601.1	WP_109958526.1	6170.313645833333
1274	5	5	WP_109891174.1	WP_207178015.1	WP_075381995.1	WP_109950703.1	WP_109962203.1	6161.837468421053
2558	5	5	WP_109896987.1	WP_207179195.1	WP_043352778.1	WP_109952575.1	WP_109959331.1	6158.801942857144
1352	5	5	WP_109891366.1	WP_048460983.1	WP_053610672.1	WP_109951250.1	WP_109959634.1	6157.450736842106
1681	5	5	WP_109892228.1	WP_048429147.1	WP_043353469.1	WP_109954379.1	WP_109957389.1	6142.5656928571425
2748	5	5	WP_236960489.1	WP_207177898.1	WP_075382094.1	WP_109953774.1	WP_109962140.1	6136.923200000001
2121	5	5	WP_109895138.1	WP_207183446.1	WP_075381140.1	WP_109951911.1	WP_109961235.1	6123.788414285715
817	5	5	WP_109889583.1	WP_207182150.1	WP_043356906.1	WP_109950118.1	WP_109962399.1	6122.48481764706
1423	5	5	WP_109891524.1	WP_207179836.1	WP_053609794.1	WP_109950854.1	WP_109957356.1	6120.579176470588
292	5	5	WP_109887368.1	WP_207181375.1	WP_075381422.1	WP_109950582.1	WP_245442530.1	6119.427021052632
28	5	5	WP_109886686.1	WP_207181787.1	WP_075381486.1	WP_109951459.1	WP_109959296.1	6111.490300000001
1248	5	5	WP_109890957.1	WP_207181739.1	WP_043352403.1	WP_109949670.1	WP_109960208.1	6099.244492857143
277	5	6	WP_109887341.1,WP_109889786.1	WP_207182363.1	WP_075380009.1	WP_109952364.1	WP_109958041.1	6088.263671428571
2735	5	5	WP_236960429.1	WP_048425752.1	WP_043346673.1	WP_109953357.1	WP_245442492.1	6078.465671428572
1685	5	5	WP_109892248.1	WP_048429145.1	WP_043351944.1	WP_109953751.1	WP_048436017.1	6066.696935714288
2892	5	5	WP_236961120.1	WP_207182300.1	WP_081948575.1	WP_245930979.1	WP_109958701.1	6062.739957142857
864	5	5	WP_109889715.1	WP_048427618.1	WP_012317888.1	WP_066921441.1	WP_048452414.1	6043.483511111112
1404	5	5	WP_109891480.1	WP_091745674.1	WP_043356050.1	WP_109951190.1	WP_109961175.1	6031.042356521738
1506	5	5	WP_109891677.1	WP_048428801.1	WP_043351054.1	WP_109953573.1	WP_109960290.1	6027.268877777778
2563	5	5	WP_109896998.1	WP_207181621.1	WP_075380400.1	WP_109954249.1	WP_109958095.1	6014.617284210527
1156	5	5	WP_109890731.1	WP_207180547.1	WP_075380163.1	WP_245930905.1	WP_109959222.1	6002.40855
987	5	5	WP_109890113.1	WP_048428945.1	WP_043346703.1	WP_109950507.1	WP_109961900.1	5966.006422222221
1312	5	5	WP_109891268.1	WP_048428422.1	WP_043348839.1	WP_066920420.1	WP_109960381.1	5963.6676375
1610	5	5	WP_109891937.1	WP_207179171.1	WP_075379784.1	WP_109953687.1	WP_109960229.1	5948.217875
1838	5	5	WP_109893347.1	WP_058619633.1	WP_051975955.1	WP_109953279.1	WP_109961084.1	5940.538740000002
1247	5	5	WP_109890955.1	WP_207181741.1	WP_043386923.1	WP_109949671.1	WP_109960209.1	5932.802107142858
46	5	5	WP_109886734.1	WP_048431104.1	WP_170861816.1	WP_109953804.1	WP_109961885.1	5897.949383333334
1206	5	5	WP_109890853.1	WP_207182274.1	WP_075379678.1	WP_109950666.1	WP_109959020.1	5896.916770370371
1535	5	5	WP_109891749.1	WP_048426181.1	WP_043384890.1	WP_109952602.1	WP_109957971.1	5891.555127272728
2614	5	6	WP_194075114.1	WP_179945849.1	WP_051045025.1	WP_109950290.1,WP_245931096.1	WP_208642246.1	5878.396244
1915	5	5	WP_109893827.1	WP_048429908.1	WP_043380860.1	WP_109954054.1	WP_109961262.1	5872.517433333333
716	5	5	WP_109889298.1	WP_207181553.1	WP_075379785.1	WP_245930961.1	WP_109961987.1	5867.383113333333
1707	5	5	WP_109892304.1	WP_048429253.1	WP_043073092.1	WP_109953213.1	WP_048429253.1	5851.699606666667
2082	5	5	WP_109895055.1	WP_207183338.1	WP_075380033.1	WP_109953341.1	WP_109960154.1	5848.577753333334
2145	5	5	WP_109895192.1	WP_207182447.1	WP_075380251.1	WP_109952112.1	WP_109960500.1	5832.7830375
655	5	5	WP_109888971.1	WP_207177766.1	WP_075380799.1	WP_109950555.1	WP_109961941.1	5827.942289473684
1714	5	5	WP_109892318.1	WP_244276490.1	WP_043383697.1	WP_109953207.1	WP_109960094.1	5816.587731578948
1213	5	5	WP_109890869.1	WP_048428440.1	WP_091954935.1	WP_109951406.1	WP_109961327.1	5813.257557894737
393	5	5	WP_109887627.1	WP_207178464.1	WP_043380271.1	WP_109954036.1	WP_109957296.1	5803.603062499999
1181	5	5	WP_109890797.1	WP_048426342.1	WP_043355725.1	WP_109952048.1	WP_109960352.1	5798.132763636364
1821	5	5	WP_109893180.1	WP_207182350.1	WP_043388616.1	WP_109950716.1	WP_109958026.1	5791.0415125
2616	5	5	WP_194075132.1	WP_207183175.1	WP_043350168.1	WP_109952353.1	WP_109962503.1	5778.889161904763
1358	5	5	WP_109891380.1	WP_058620585.1	WP_043387560.1	WP_109949737.1	WP_109958150.1	5739.769511764705
1787	5	5	WP_109892753.1	WP_048427026.1	WP_043349347.1	WP_245931072.1	WP_109961215.1	5730.416031578949
1093	5	5	WP_109890511.1	WP_048425443.1	WP_043354215.1	WP_109950914.1	WP_109959551.1	5716.6071875
26	5	5	WP_109886680.1	WP_207183072.1	WP_075381488.1	WP_204165304.1	WP_109961805.1	5716.3000125
1537	5	5	WP_109891753.1	WP_207177837.1	WP_043353773.1	WP_109952120.1	WP_109957316.1	5709.771522222222
2109	5	5	WP_109895109.1	WP_048430728.1	WP_043386041.1	WP_109952357.1	WP_109961587.1	5698.21252173913
328	5	5	WP_109887481.1	WP_207177847.1	WP_043382654.1	WP_245931109.1	WP_109958234.1	5697.878754545454
4537	5	5	WP_109891573.1	WP_207178961.1	WP_075380539.1	WP_162559799.1	WP_109960315.1	5696.088384615385
2408	5	5	WP_109896173.1	WP_048428001.1	WP_043353480.1	WP_109953434.1	WP_109958036.1	5690.230011111111
1499	5	5	WP_109891661.1	WP_207178980.1	WP_043358110.1	WP_109953567.1	WP_245442515.1	5682.141553846154
2509	5	5	WP_109896638.1	WP_207179386.1	WP_075380896.1	WP_109953674.1	WP_109958332.1	5678.675595
401	5	5	WP_109887661.1	WP_207178736.1	WP_075381377.1	WP_109951325.1	WP_109959627.1	5677.547773333334
1408	5	5	WP_109891490.1	WP_048431257.1	WP_043356057.1	WP_109951185.1	WP_109961182.1	5668.808733333334
2095	5	5	WP_109895081.1	WP_048425521.1	WP_075380377.1	WP_109952367.1	WP_109960173.1	5660.813684615385
1940	5	5	WP_109894009.1	WP_207183152.1	WP_075379720.1	WP_109953461.1	WP_109961639.1	5653.392940000001
2653	5	5	WP_194075237.1	WP_089504192.1	WP_170861837.1	WP_204165312.1	WP_245443001.1	5652.385316666667
74	5	5	WP_109886800.1	WP_207180557.1	WP_075381825.1	WP_109951810.1	WP_109959212.1	5636.2533
300	5	6	WP_109887433.1	WP_244748622.1	WP_075380873.1,WP_075381580.1	WP_109953918.1	WP_109961079.1	5607.441918181818
2350	5	5	WP_109895804.1	WP_207179778.1	WP_043349290.1	WP_109953546.1	WP_109958470.1	5593.942833333334
2305	5	5	WP_109895687.1	WP_236012505.1	WP_026604676.1	WP_109953092.1	WP_236012505.1	5589.343477777777
1539	5	5	WP_109891761.1	WP_207183257.1	WP_043356526.1	WP_109953185.1	WP_109962320.1	5585.161114285715
1173	5	5	WP_109890771.1	WP_048431545.1	WP_043756972.1	WP_109951395.1	WP_109961945.1	5562.0918529411765
863	5	5	WP_109889713.1	WP_048427643.1	WP_051044744.1	WP_245930774.1	WP_109961094.1	5554.944366666667
388	5	5	WP_109887612.1	WP_207178318.1	WP_043351032.1	WP_109951376.1	WP_109959037.1	5546.397816666667
828	5	5	WP_109889620.1	WP_048431347.1	WP_012320646.1	WP_109950112.1	WP_109960693.1	5536.741082352942
395	5	5	WP_109887631.1	WP_048427611.1	WP_012317168.1	WP_109950490.1	WP_048432124.1	5527.74908125
2686	5	5	WP_236960134.1	WP_207179390.1	WP_075381094.1	WP_109949499.1	WP_109958334.1	5506.265904166667
1344	5	5	WP_109891348.1	WP_207179388.1	WP_075381093.1	WP_109949500.1	WP_109958333.1	5506.265904166667
811	5	5	WP_109889572.1	WP_048425502.1	WP_075381017.1	WP_109950101.1	WP_208642376.1	5500.720978571429
2770	5	5	WP_236960553.1	WP_244276522.1	WP_075380704.1	WP_109950522.1	WP_245442821.1	5491.822383333333
1106	5	5	WP_109890541.1	WP_207177755.1	WP_043354401.1	WP_109951126.1	WP_091888635.1	5453.218515
1024	5	5	WP_109890252.1	WP_048427180.1	WP_075381510.1	WP_109950363.1	WP_109962431.1	5448.141125
2758	5	5	WP_236960505.1	WP_244748566.1	WP_043354636.1	WP_109951552.1	WP_245442868.1	5443.368785714286
2619	5	5	WP_194075136.1	WP_058619292.1	WP_043355216.1	WP_109951682.1	WP_109958214.1	5406.7691
382	5	5	WP_109887580.1	WP_244748839.1	WP_043759637.1	WP_109949749.1	WP_245442866.1	5405.697835294117
2335	5	5	WP_109895764.1	WP_048426492.1	WP_043355549.1	WP_109954206.1	WP_109959177.1	5401.4343874999995
1117	5	5	WP_109890575.1	WP_082172041.1	WP_043345283.1	WP_245930663.1	WP_245443033.1	5390.8759900000005
2	5	5	WP_003601373.1	WP_048425702.1	WP_003601373.1	WP_003601373.1	WP_048425702.1	5368.16834375
3491	5	7	WP_109896035.1	WP_082171676.1,WP_207179266.1	WP_075380761.1	WP_109952218.1	WP_109958540.1,WP_162561160.1	5365.99505
2391	5	5	WP_109895986.1	WP_048430841.1	WP_043347763.1	WP_109950747.1	WP_109962102.1	5361.834592307691
1730	5	5	WP_109892366.1	WP_058617828.1	WP_075379599.1	WP_109954258.1	WP_109959073.1	5358.376500000001
1608	5	5	WP_109891933.1	WP_207179160.1	WP_043350577.1	WP_109953691.1	WP_109960232.1	5347.720673684211
2364	5	5	WP_109895836.1	WP_244748817.1	WP_075380772.1	WP_109952181.1	WP_245442597.1	5330.269441666666
1941	5	5	WP_109894013.1	WP_207181101.1	WP_043385305.1	WP_109951986.1	WP_109958761.1	5323.222152941176
620	5	5	WP_109888871.1	WP_244748898.1	WP_075380320.1	WP_109951260.1	WP_109960946.1	5315.649444444444
1385	5	5	WP_109891440.1	WP_048430589.1	WP_043355978.1	WP_109951157.1	WP_109959404.1	5315.124115384617
3627	5	5	WP_109896498.1	WP_207178586.1	WP_075381470.1	WP_109951327.1	WP_109959247.1	5309.373858823529
2483	5	5	WP_109896546.1	WP_048428420.1	WP_043347572.1	WP_109952006.1	WP_109960383.1	5307.893819999999
1112	5	5	WP_109890565.1	WP_058619337.1	WP_043378576.1	WP_109953061.1	WP_109959286.1	5306.345223529412
841	5	5	WP_109889651.1	WP_048427528.1	WP_043384148.1	WP_109950069.1	WP_109960673.1	5303.005633333333
2796	5	6	WP_236960695.1	WP_048430470.1	WP_075379729.1	WP_204165277.1	WP_109959094.1,WP_109960967.1	5297.79894375
2547	5	5	WP_109896954.1	WP_207183174.1	WP_043386036.1	WP_109952352.1	WP_109961592.1	5290.699364705882
1180	5	7	WP_109890793.1,WP_162560715.1	WP_207177888.1	WP_043760326.1,WP_075381334.1	WP_109951654.1	WP_109958185.1	5284.916875
2448	5	5	WP_109896394.1	WP_167349664.1	WP_051044682.1	WP_109954326.1	WP_109959282.1	5282.339760000001
797	5	5	WP_109889537.1	WP_207181993.1	WP_043388792.1	WP_109949944.1	WP_109958915.1	5276.262230769231
449	5	5	WP_109887874.1	WP_244748586.1	WP_075380229.1	WP_245930632.1	WP_109962098.1	5261.3645
1619	5	5	WP_109891957.1	WP_048426439.1	WP_043348866.1	WP_109953592.1	WP_109961485.1	5256.8215222222225
2679	5	5	WP_236960124.1	WP_244748621.1	WP_043382810.1	WP_109951342.1	WP_245442634.1	5251.029290909091
2257	5	5	WP_109895562.1	WP_048425821.1	WP_043346669.1	WP_109952591.1	WP_048425821.1	5243.805042424242
370	5	5	WP_109887564.1	WP_048426151.1	WP_043348419.1	WP_109953577.1	WP_109960122.1	5222.449340000001
207	5	5	WP_109887116.1	WP_207180138.1	WP_043757156.1	WP_109951507.1	WP_109961442.1	5218.536984615385
2217	5	5	WP_109895480.1	WP_207179148.1	WP_043346101.1	WP_109951996.1	WP_109960235.1	5206.741685714286
1847	5	5	WP_109893369.1	WP_048426927.1	WP_075379989.1	WP_109953251.1	WP_109960566.1	5205.202533333333
2272	5	5	WP_109895595.1	WP_048429411.1	WP_012320773.1	WP_066920555.1	WP_048429411.1	5204.02543888889
691	5	5	WP_109889214.1	WP_207177932.1	WP_043759090.1	WP_109949606.1	WP_109957568.1	5200.810115789474
1754	5	5	WP_109892422.1	WP_244748550.1	WP_075381627.1	WP_109953122.1	WP_109962259.1	5166.902959999999
